,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,БЕБИ борн. Интерактивная кукла с магическими глазками 43 см,140251289,30,7534,5273,Baby Born,85879,117,4,https://www.wildberries.ru/catalog/140251289/detail.aspx?targetUrl=BP
1,Кукла LOL Surprise OMG игровой набор лол,81717189,73,7778,2100,L.O.L. Surprise!,31474,797,5,https://www.wildberries.ru/catalog/81717189/detail.aspx?targetUrl=BP
2,"Деревянный кукольный домик, дом для кукол Барби",102774975,53,6610,3106,Teremtoys,158908,300,5,https://www.wildberries.ru/catalog/102774975/detail.aspx?targetUrl=BP
3,Кукольный домик с мебелью,38919468,62,2700,1026,EcoBaby,158488,3962,5,https://www.wildberries.ru/catalog/38919468/detail.aspx?targetUrl=BP
4,Кукла ЛОЛ сюрприз Магия кино шарик LOL Movie Magic,78048339,35,1990,1293,L.O.L. Surprise!,31474,620,5,https://www.wildberries.ru/catalog/78048339/detail.aspx?targetUrl=BP
5,Кукла ЛОЛ меняет цвет шарик LOL Color Change,45569155,52,2490,1195,L.O.L. Surprise!,31474,635,5,https://www.wildberries.ru/catalog/45569155/detail.aspx?targetUrl=BP
6,"БЕБИ борн. Интерактивная кукла ""Маленькая девочка"" 36 см",140249868,30,5336,3735,Baby Born,85879,52,4,https://www.wildberries.ru/catalog/140249868/detail.aspx?targetUrl=BP
7,Набор кукол LOL Surprise Color Cange,97533374,48,3990,2074,L.O.L. Surprise!,31474,216,5,https://www.wildberries.ru/catalog/97533374/detail.aspx?targetUrl=BP
8,Кукла Модница Кони интерактивная плачущая Cry Babies,138974414,15,6920,5882,Край Бебис,310432862,119,4,https://www.wildberries.ru/catalog/138974414/detail.aspx?targetUrl=BP
9,Кукла LOL Remix OMG Kitty K ЛОЛ ОМГ,97017596,28,7990,5752,L.O.L. Surprise!,31474,154,5,https://www.wildberries.ru/catalog/97017596/detail.aspx?targetUrl=BP
10,Коляска трость для кукол и игрушек детская складная TWIGLET,53280244,20,3497,2797,Happy Baby,10579,368,5,https://www.wildberries.ru/catalog/53280244/detail.aspx?targetUrl=BP
11,Мини-куклы для девочек в наборе 6 шт,103643389,79,9002,1890,konty,522087,33,4,https://www.wildberries.ru/catalog/103643389/detail.aspx?targetUrl=BP
12,Мини-куклы для девочек в наборе 6 шт,137570984,80,9540,1908,konty,522087,33,4,https://www.wildberries.ru/catalog/137570984/detail.aspx?targetUrl=BP
13,Кукла LOL Tweens Freshest ЛОЛ Твинс,100066300,18,3890,3189,L.O.L. Surprise!,31474,309,5,https://www.wildberries.ru/catalog/100066300/detail.aspx?targetUrl=BP
14,Мини-куклы для девочек в наборе 6 шт,147360337,80,9544,1908,konty,522087,33,4,https://www.wildberries.ru/catalog/147360337/detail.aspx?targetUrl=BP
15,Мини-кукла в подарочной упаковке,147313005,73,2144,578,konty,522087,66,4,https://www.wildberries.ru/catalog/147313005/detail.aspx?targetUrl=BP
16,Мини-кукла в подарочной упаковке,147313006,73,2144,578,konty,522087,66,4,https://www.wildberries.ru/catalog/147313006/detail.aspx?targetUrl=BP
17,Мини-куклы для девочек в наборе 6 шт,147360333,80,9544,1908,konty,522087,33,4,https://www.wildberries.ru/catalog/147360333/detail.aspx?targetUrl=BP
